#,Name,Description,Image,Secret
1,1 year JetBrains Licence,Offered by Jetbrains,jetbrains.png,
2,Notebook,Offered by Codice Plastico,note.jpg,
3,1 year JetBrains Licence,Offered by Jetbrains,jetbrains.png,
4,Sport T-shirt Nike ,"Offered by Intré, XXL Black",nike.jpg,
5,Sport Towel,"Offered by Golee, Grey",towel.jpg,
6,Wirelss Charger,Offered by Vianova,charger.jpg,
7,Water Bottle,Offered by Golee,bottlegolee.jpg,
8,Cap,Offered by Qomodo,cap.jpg,
9,Water Bottle,Offered by QMates,bottleqmates.jpg,
10,Bag,Offered by Codice Plastico,bag.jpg,
11,Thermal Mug,Offered by Codice Plastico,mug.jpg,
12,Notebook,Offered by Codice Plastico,note.jpg,
13,Seaside Rackets,Offered by Aruba Kube,rackets.jpg,
14,1 year JetBrains Licence,Offered by Jetbrains,jetbrains.png,
15,Seaside Rackets,Offered by Aruba Kube,rackets.jpg,
16,Calze Merry Christmas,Offered by Intrè,socks.jpg,
17,Water Bottle,Offered by Golee,bottlegolee.jpg,
18,Sport T-shirt Nike ,"Offered by Intré, XXL Black",nike.jpg,
19,Sport Towel,"Offered by Golee, Grey",towel.jpg,
20,Bag,Offered by Codice Plastico,bag.jpg,
21,Sport T-shirt Nike ,"Offered by Intré, XXL Black",nike.jpg,
22,Sport Towel,"Offered by Golee, Grey",towel.jpg,
23,Calze Merry Christmas,Offered by Intrè,socks.jpg,
24,Cap,Offered by Qomodo,cap.jpg,
25,Calze Merry Christmas,Offered by Intrè,socks.jpg,
26,Thermal Mug,Offered by Codice Plastico,mug.jpg,
27,Cap,Offered by Qomodo,cap.jpg,
28,Seaside Rackets,Offered by Aruba Kube,rackets.jpg,
29,WSC2026 ticket,Offered by Gabriele Santomaggio,wscsantomaggio.jpg,